"depot","route_no","line_id"
2,"801",U801002
2,"801",U801002
2,"801",U801002
2,"801",U801002
2,"801",U801002
2,"801",U801002
2,"801",U801002
2,"801",U801002
2,"801",U801002
2,"801",U801002
2,"801",U801002
2,"801",U801002
2,"801",U801002
2,"801",U801002
2,"801",U801002
2,"801",U801002
2,"801",U801002
2,"801",U801002
2,"801",U801002
2,"801",U801002
2,"801",U801001
2,"801",U801001
2,"801",U801001
2,"801",U801001
2,"801",U801001
2,"801",U801001
2,"801",U801001
2,"801",U801001
2,"801",U801001
2,"801",U801001
2,"801",U801001
2,"801",U801001
2,"801",U801001
2,"801",U801001
2,"801",U801001
2,"801",U801001
2,"801",U801001
2,"801",U801001
2,"801",U801001
2,"801",U801001
2,"801",U801001
2,"801",U801001
2,"801",U801001
2,"801",U801001
2,"801",U801001
2,"801",U801001
7,SA03B,S403102
7,SA03B,S403102
7,SA03B,S403102
7,SA03B,S403102
7,SA03B,S403102
7,SA03B,S403102
7,SA03B,S403102
7,SA03B,S403102
7,SA03B,S403102
7,SA03B,S403102
7,SA03B,S403102
7,SA03B,S403102
7,SA03B,S403102
7,SA03B,S403102
7,SA03B,S403102
7,SA03B,S403102
7,SA03B,S403102
5,T571,T571002
5,T571,T571002
5,T571,T571002
5,T571,T571002
5,T571,T571002
5,T571,T571002
5,T571,T571002
5,T571,T571002
5,T571,T571002
5,T571,T571002
5,T571,T571002
5,T571,T571002
5,T571,T571002
5,T571,T571002
5,T571,T571002
5,T571,T571002
5,T571,T571002
5,T571,T571002
5,T571,T571002
5,T571,T571002
2,RED,S008002
2,RED,S008002
2,RED,S008002
2,RED,S008002
2,RED,S008002
2,RED,S008002
2,RED,S008002
2,RED,S008002
2,RED,S008002
2,RED,S008002
2,RED,S008002
2,RED,S008002
2,RED,S008002
2,RED,S008002
2,RED,S008002
2,RED,S008001
2,RED,S008001
2,RED,S008001
2,RED,S008001
2,RED,S008001
2,RED,S008001
2,RED,S008001
2,RED,S008001
2,RED,S008001
2,RED,S008001
2,RED,S008001
2,RED,S008001
2,RED,S008001
2,RED,S008001
5,SJ03,S203002
5,SJ03,S203002
5,SJ03,S203002
5,SJ03,S203002
5,SJ03,S203002
5,SJ03,S203002
5,SJ03,S203002
5,SJ03,S203002
5,SJ03,S203002
5,SJ03,S203002
5,SJ03,S203002
5,SJ03,S203002
5,SJ03,S203002
5,SJ03,S203002
5,SJ03,S203002
5,SJ03,S203002
5,SJ03,S203002
5,SJ03,S203002
5,SJ03,S203002
5,SJ03,S203002
5,SJ03,S203002
5,SJ03,S203002
5,SJ03,S203002
5,SJ03,S203002
5,SJ03,S203002
5,SJ03,S203002
5,SJ03,S203002
5,SJ03,S203002
5,SJ03,S203002
5,SJ03,S203002
5,SJ03,S203002
7,BET4,R004002
7,BET4,R004002
7,BET4,R004002
7,BET4,R004002
7,BET4,R004002
7,BET4,R004002
7,BET4,R004002
7,BET4,R004002
7,BET4,R004002
7,BET4,R004002
7,BET4,R004002
7,BET4,R004002
7,BET4,R004002
7,BET4,R004002
7,BET4,R004002
7,BET4,R004002
7,BET4,R004002
7,BET4,R004002
7,BET4,R004002
7,BET4,R004002
7,BET4,R004002
7,BET4,R004002
7,BET4,R004002
7,BET4,R004002
7,BET4,R004001
7,BET4,R004001
7,BET4,R004001
7,BET4,R004001
7,BET4,R004001
7,BET4,R004001
7,BET4,R004001
7,BET4,R004001
7,BET4,R004001
7,BET4,R004001
7,BET4,R004001
7,BET4,R004001
7,BET4,R004001
7,BET4,R004001
7,BET4,R004001
7,BET4,R004001
7,BET4,R004001
7,BET4,R004001
7,BET4,R004001
7,BET4,R004001
7,BET4,R004001
7,BET4,R004001
7,BET4,R004001
7,BET4,R004001
7,BET4,R004001
7,BET4,R004001
7,BET4,R004001
2,PURPLE,S002002
2,PURPLE,S002002
2,PURPLE,S002002
2,PURPLE,S002002
2,PURPLE,S002002
2,PURPLE,S002002
2,PURPLE,S002002
2,PURPLE,S002002
2,PURPLE,S002002
2,PURPLE,S002002
2,PURPLE,S002002
2,PURPLE,S002002
2,PURPLE,S002001
2,PURPLE,S002001
2,PURPLE,S002001
2,PURPLE,S002001
2,PURPLE,S002001
2,PURPLE,S002001
2,PURPLE,S002001
7,"781",U781002
7,"781",U781002
7,"781",U781002
7,"781",U781002
7,"781",U781002
7,"781",U781002
7,"781",U781002
7,"781",U781002
7,"781",U781002
7,"781",U781002
7,"781",U781002
7,"781",U781002
7,"781",U781002
7,"781",U781002
7,"781",U781002
7,"781",U781002
7,"781",U781002
7,"781",U781002
7,"781",U781002
7,"781",U781002
7,"781",U781002
7,"781",U781002
7,"781",U781002
7,"781",U781002
7,"781",U781002
7,"781",U781002
7,"781",U781002
7,"781",U781002
7,"781",U781002
7,"781",U781002
7,"781",U781002
7,"781",U781002
